ResponseId,Age,Gender,shopping_freq,limi_prod_imp,cookie,cup,sneakers,headphones,perfume,treated
R_3TJYd3ZkDqxNCsF,,,,,,,,,,0
R_1KYAQ68yuP1nbc5,,,,,,,,,,0
R_3LcEQ68CnM5EaxJ,,,,,,,,,,0
R_3nGTNhqlvMXRZP0,,,,,,,,,,0
R_1npfqTJcetbP2qO,,,,,,,,,0,0
R_3QzGsqB61jrxU0F,2,,1,2,62,69,62,62,49,0
R_3EHYA5a1HmA2oPD,3,,3,3,40,41,49,55,53,0
R_32aGTQyahiqOmQP,2,4,3,2,65,68,50,69,30,0
R_3jNdu3373Leb3vN,1,2,2,1,21,16,27,34,32,0
R_39H3cBYvGCmraQ9,4,2,2,5,31,30,27,37,43,0
R_3whQcOKLKrRChcL,2,1,3,3,10,50,80,70,80,1
R_3gI5E345rXqI8cZ,3,1,2,4,92,11,85,83,61,1
R_3kS8gRyuwG6jqVY,4,2,2,3,49,33,46,55,56,1
R_3EYjSGulk8I3uce,4,2,3,2,57,49,50,50,31,1
R_3jZoMVhezxtNxmW,5,1,2,5,28,60,100,100,64,1
R_3KNJTC3O6oJRTFv,3,2,2,4,28,21,87,83,82,1
