StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage," ",Q1,Q8,Q13,Q15,Q17,Q21,Q19
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Age,Gender,How often do you shop online?,"How much are you willing to pay for this cookie product (maximum you are willing to pay?)


(Please enter number in USD, no ""$"" or decimals- just a number)","How much are you willing to pay for this cup product (maximum you are willing to pay?)


(Please enter number in USD, no ""$"" or decimals- just a number)","How much are you willing to pay for this shoe product (maximum you are willing to pay?)

(Please enter number in USD, no ""$"" or decimals- just a number)","How much are you willing to pay for this headphones product (maximum you are willing to pay?)

(Please enter number in USD, no ""$"" or decimals- just a number)","How much are you willing to pay for this perfume product (maximum you are willing to pay?)

(Please enter number in USD, no ""$"" or decimals- just a number)"
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID4""}","{""ImportId"":""QID8""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID22_TEXT""}"
2026-02-21 23:29:12,2026-02-21 23:29:57,0,73.218.219.156,100,44,1,2026-02-21 23:29:57,R_57yhLhJSJEty4Sw,,,,,42.2783,-71.1593,anonymous,EN,2,1,4,1.5,3,49.99,40,60
2026-02-21 23:29:18,2026-02-21 23:30:08,0,69.31.37.19,100,50,1,2026-02-21 23:30:09,R_35TlKdJzxulrBFx,,,,,42.3574,-71.0618,anonymous,EN,2,2,3,10,20,30,50,80
2026-02-21 23:29:32,2026-02-21 23:30:57,0,209.6.107.154,100,85,1,2026-02-21 23:30:57,R_5MgxYxUD8U3eTLj,,,,,42.2904,-71.0712,anonymous,EN,2,2,2,2,8,60,90,80
2026-02-21 23:30:56,2026-02-21 23:31:52,0,38.42.239.86,100,55,1,2026-02-21 23:31:52,R_6a9QX5xuLBC8LEJ,,,,,42.3474,-71.1582,anonymous,EN,2,2,4,3,3,70,50,50
2026-02-21 23:30:54,2026-02-21 23:31:55,0,24.34.211.210,100,60,1,2026-02-21 23:31:55,R_1o6qNSuThZO9zoZ,,,,,42.3474,-71.1582,anonymous,EN,2,2,3,7,7,200,158,35
2026-02-21 23:33:25,2026-02-21 23:34:37,0,66.30.245.121,100,71,1,2026-02-21 23:34:37,R_3duzaNhuDJuGddh,,,,,42.2904,-71.0712,anonymous,EN,2,1,3,2,19.99,150,59.99,175
2026-02-21 23:34:43,2026-02-21 23:36:51,0,151.203.12.167,100,127,1,2026-02-21 23:36:51,R_6JW16ibVieNYMCJ,,,,,42.364,-71.0265,anonymous,EN,3,1,4,3,20,65,40,30
2026-02-21 23:37:20,2026-02-21 23:38:01,0,156.146.98.2,100,40,1,2026-02-21 23:38:01,R_5xGWYiLulBFKmXL,,,,,42.3474,-71.1582,anonymous,EN,2,1,2,1,9.99,200,50,50
