ResponseId,Age,Gender,shopping_freq,cookie,cup,sneakers,headphones,perfume,treated
R_57yhLhJSJEty4Sw,2,1,4,1.5,3,49.99,40,60,0
R_35TlKdJzxulrBFx,2,2,3,10,20,30,50,80,0
R_5MgxYxUD8U3eTLj,2,2,2,2,8,60,90,80,0
R_6a9QX5xuLBC8LEJ,2,2,4,3,3,70,50,50,0
R_1o6qNSuThZO9zoZ,2,2,3,7,7,200,158,35,0
R_3duzaNhuDJuGddh,2,1,3,2,19.99,150,59.99,175,0
R_6JW16ibVieNYMCJ,3,1,4,3,20,65,40,30,0
R_5xGWYiLulBFKmXL,2,1,2,1,9.99,200,50,50,0
R_5LpnLBbHaOC698U,2,1,4,3,9,69,199,99,0
R_1ZBtPYxk4btrkEf,2,1,2,2,8,100,30,30,0
R_5kH2uPc1hUzi7gh,3,1,3,2,5,100,121,100,0
R_6uV6OnFzReX09AI,5,2,3,5,10,86,88,45,0
R_6FKXNJ3BtAUkb2W,4,2,3,8,12,120,250,100,0
R_69azbuGqJH8LUzi,3,2,1,3,10,60,100,50,0
R_5M09J8aRpNFLnY3,2,1,2,5,10,60,60,30,0
R_3s695afoTlDGxtD,4,2,1,1,5,30,40,45,0
R_3SCy1UBDe926wxn,3,2,3,6,20,50,50,50,0
R_1lLk6KkThqf4UI9,3,1,2,3,7,95,50,15,0
R_7JS1ucEKfwYxJyu,5,1,2,8,15,85,45,10,0
R_7FPbbaEPcMgSgL3,2,1,3,4,14,80,75,6,0
R_3JJzpmrWgHBPNxG,2,2,1,7,30,140,150,60,0
R_7jYYUCZTYOsxgYW,3,2,2,4,12,90,30,50,0
R_3ImCqGIkXpy2y1r,3,2,3,3,10,100,50,60,0
R_6wvNCgQHZM3tB96,3,2,2,5,15,80,20,25,0
R_5qgXYJd1OcVXHEr,2,2,2,10,15,100,150,100,0
R_3IxWkYceQR8QscE,2,2,2,0,30,100,80,120,0
R_3kZzv1hpjWq5nrP,2,2,4,6,15,150,80,30,0
R_5aIkzju8SpGWy3v,2,2,2,3,5,80,90,30,0
R_4pGKiZsJZtoy4sF,4,1,2,5,10,90,100,5,0
R_5vALxxxFJxBO68F,3,1,3,2,5,90,50,20,0
R_6ZOyF094IVWDm47,2,1,3,10,5,80,25,15,0
R_7GBvAhzLkpYqu8x,2,2,2,3,8,180,50,25,0
R_9QEZdijSOssezhF,2,2,3,10,25,80,40,40,0
R_5OHXc8Y0tyEctyG,2,1,1,2,5,60,100,30,0
