StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1,Q8,Q13,Q15,Q17,Q21,Q19
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Age,Gender,How often do you shop online?,"How much are you willing to pay for this cookie product (maximum you are willing to pay?)

(Please enter number in USD, no ""$"" or decimals- just a number)","How much are you willing to pay for this cup product (maximum you are willing to pay?)

(Please enter number in USD, no ""$"" or decimals- just a number)","How much are you willing to pay for this shoe product (maximum you are willing to pay?)


(Please enter number in USD, no ""$"" or decimals- just a number)","How much are you willing to pay for this headphones product (maximum you are willing to pay?)


(Please enter number in USD, no ""$"" or decimals- just a number)","How much are you willing to pay for this perfume product (maximum you are willing to pay?)

(Please enter number in USD, no ""$"" or decimals- just a number)"
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID4""}","{""ImportId"":""QID8""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID22_TEXT""}"
2026-02-22 01:20:09,2026-02-22 01:23:11,0,121.236.231.178,100,182,1,2026-02-22 01:23:12,R_6YaYoDG1z5Q0tSC,,,,,31.8731,120.5425,anonymous,EN,5,2,2,3,5,80,200,100
2026-02-22 01:37:18,2026-02-22 01:38:55,0,76.116.4.113,100,96,1,2026-02-22 01:38:56,R_6etcY6Gov6n0JAd,,,,,40.734,-74.0712,anonymous,EN,2,2,2,2,20,60,60,80
2026-02-22 01:41:52,2026-02-22 01:43:12,0,76.116.4.113,100,80,1,2026-02-22 01:43:13,R_1dLY6YR0AIpFFa9,,,,,40.734,-74.0712,anonymous,EN,2,1,2,1,5,40,60,70
2026-02-22 00:54:50,2026-02-22 01:43:34,0,173.48.198.34,100,2923,1,2026-02-22 01:43:35,R_6IYa9oyLh8tvNGU,,,,,42.2832,-71.4296,anonymous,EN,2,1,2,2,5,50,100,120
2026-02-22 01:50:08,2026-02-22 01:51:08,0,172.56.197.208,100,60,1,2026-02-22 01:51:09,R_3LbdCYFIf1XDopO,,,,,42.415,-71.0527,anonymous,EN,3,1,3,8,25,200,300,150
2026-02-22 03:27:03,2026-02-22 03:30:05,0,220.205.224.84,100,182,1,2026-02-22 03:30:05,R_9z3fSMC5n054YG5,,,,,31.8696,117.293,anonymous,EN,3,2,3,4,88,200,300,150
2026-02-22 04:12:17,2026-02-22 04:14:12,0,96.63.218.97,100,115,1,2026-02-22 04:14:12,R_18HZhy0J72szjHU,,,,,39.9914,-83.0034,anonymous,EN,2,2,4,6,20,120,300,180
2026-02-22 04:10:20,2026-02-22 04:15:00,0,108.180.174.106,100,280,1,2026-02-22 04:15:01,R_9KqFsjdMzF5vp97,,,,,43.88,125.3247,anonymous,EN,4,1,2,3,16,100,199,30
