ResponseId,Age,Gender,shopping_freq,cookie,cup,sneakers,headphones,perfume,treated
R_6YaYoDG1z5Q0tSC,5,2,2,3,5,80,200,100,1
R_6etcY6Gov6n0JAd,2,2,2,2,20,60,60,80,1
R_1dLY6YR0AIpFFa9,2,1,2,1,5,40,60,70,1
R_6IYa9oyLh8tvNGU,2,1,2,2,5,50,100,120,1
R_3LbdCYFIf1XDopO,3,1,3,8,25,200,300,150,1
R_9z3fSMC5n054YG5,3,2,3,4,88,200,300,150,1
R_18HZhy0J72szjHU,2,2,4,6,20,120,300,180,1
R_9KqFsjdMzF5vp97,4,1,2,3,16,100,199,30,1
R_6gYtqaXXVjAAcCK,5,2,3,7,20,30,30,20,1
R_5DoULQA5qgCSjh9,3,2,2,3,10,80,150,100,1
R_5q90WnqcaH18Qym,3,2,4,20,50,400,500,500,1
R_3doXDD9I27DGX8Q,3,2,2,5,10,30,15,0,1
R_5svwOfrRnPZv3uY,5,2,3,9,20,150,150,150,1
R_5ufgaoYvIHDaEnv,3,2,2,10,15,80,40,60,1
R_7AExxLMfRVAwyBw,3,2,3,9,25,250,200,100,1
R_7c06TAts30XWQh3,2,1,3,10,50,250,300,400,1
R_61ZJQvPXW4Tzwac,2,2,2,8,35,100,90,120,1
R_6gacYjIgBQHwWKl,4,1,2,3,9,110,55,75,1
R_5yOQNnBdfH78KIx,3,2,4,5,18,130,200,100,1
R_7IuuIFcGrWVVlRc,2,1,3,9,8,140,200,150,1
R_7Nq2lc15KxrE6rV,2,1,2,2,15,150,105,30,1
R_6NVUFQPsIY6OFLX,2,2,2,5,18,150,200,100,1
R_53pQgUAMn6x1QfJ,2,1,4,2,0,60,0,20,1
R_1rfDK0O92U1rlHB,3,1,1,7,4,80,150,100,1
R_7Vxua1SJhQPKZ6F,2,2,3,3,20,100,200,200,1
R_1WsDuVxioyJhy49,2,2,3,20,30,200,150,80,1
R_5v1c2LwhVv5SiUV,2,1,4,4,20,100,70,120,1
R_3I3Hz9gi4i1hxVl,2,1,1,3,5,100,80,0,1
R_5rUsk5Z7fpdUmc5,2,1,1,5,60,200,200,250,1
R_5xGckO3DXw84brf,2,2,4,5,10,150,60,55,1
